zipcode,water_cells,water_acres,date
93312,139,30.91285589321103,2022-10-04
93314,50,11.119732335687422,2022-10-04
93518,77,17.12438779695863,2022-10-04
93531,0,0,2022-10-04
93561,0,0,2022-10-04
93252,118,26.242568312222314,2022-05-21
93268,30,6.671839401412453,2022-05-21
93307,1943,432.1127985648132,2022-05-21
93311,690,153.45230623248642,2022-05-21
93313,533,118.53634669842792,2022-05-21
93461,0,0,2022-05-21
93203,856,190.36981758696865,2022-05-21
93206,286,63.60486896013205,2022-05-21
93215,1919,426.77532704368326,2022-05-21
93220,4,0.8895785868549937,2022-05-21
93224,38,8.45099657512244,2022-05-21
93241,4,0.8895785868549937,2022-05-21
93243,17,3.7807089941337235,2022-05-21
93249,798,177.47092807757124,2022-05-21
93250,307,68.27515654112077,2022-05-21
93251,77,17.12438779695863,2022-05-21
93263,438,97.4088552606218,2022-05-21
93276,15,3.3359197007062265,2022-05-21
93280,956,212.6092822583435,2022-05-21
93287,5,1.1119732335687422,2022-05-21
93301,32,7.1166286948399495,2022-05-21
93304,13,2.8911304072787294,2022-05-21
93305,16,3.5583143474199748,2022-05-21
93306,560,124.54100215969912,2022-05-21
93308,698,155.2314634061964,2022-05-21
93309,98,21.794675377947346,2022-05-21
93312,74,16.457203856817383,2022-05-21
93314,54,12.009310922542415,2022-05-21
93518,0,0,2022-05-21
93531,0,0,2022-05-21
93561,0,0,2022-05-21
93252,1095,243.52213815155454,2022-06-06
93268,1410,313.5764518663853,2022-06-06
93307,15338,3411.0890912954733,2022-06-06
93311,1697,377.4037154732311,2022-06-06
93313,1432,318.46913409408774,2022-06-06
93461,76,16.90199315024488,2022-06-06
93203,17572,3907.9187320539872,2022-06-06
93206,4553,1012.5628264876966,2022-06-06
93215,1935,430.3336413911032,2022-06-06
93220,670,149.00441329821146,2022-06-06
93224,2288,508.8389516810564,2022-06-06
93241,602,133.88157732167656,2022-06-06
93243,67,14.900441329821145,2022-06-06
93249,6840,1521.1793835220392,2022-06-06
93250,311,69.16473512797576,2022-06-06
93251,8601,1912.8163563849503,2022-06-06
93263,514,114.3108484108667,2022-06-06
93276,4,0.8895785868549937,2022-06-06
93280,3568,793.5040994746544,2022-06-06
93287,20,4.447892934274969,2022-06-06
93301,979,217.7243591327597,2022-06-06
93304,1613,358.7225651492762,2022-06-06
93305,1636,363.8376420236924,2022-06-06
93306,5533,1230.5095802671701,2022-06-06
93308,5315,1182.0275472835729,2022-06-06
93309,493,109.64056082987797,2022-06-06
93312,97,21.572280731233597,2022-06-06
93314,97,21.572280731233597,2022-06-06
93518,519,115.42282164443543,2022-06-06
93531,0,0,2022-06-06
93561,67,14.900441329821145,2022-06-06
93252,140,31.13525053992478,2022-07-08
93268,28,6.227050107984956,2022-07-08
93307,1931,429.44406280424823,2022-07-08
93311,662,147.22525612450147,2022-07-08
93313,471,104.7478786021755,2022-07-08
93461,0,0,2022-07-08
93203,1035,230.17845934872963,2022-07-08
93206,375,83.39799251765567,2022-07-08
93215,1893,420.99306622912576,2022-07-08
93220,8,1.7791571737099874,2022-07-08
93224,16,3.5583143474199748,2022-07-08
93241,1,0.22239464671374842,2022-07-08
93243,37,8.228601928408692,2022-07-08
93249,785,174.57979767029252,2022-07-08
93250,314,69.831919068117,2022-07-08
93251,71,15.790019916676139,2022-07-08
93263,460,102.30153748832427,2022-07-08
93276,18,4.003103640847471,2022-07-08
93280,965,214.61083407876723,2022-07-08
93287,4,0.8895785868549937,2022-07-08
93301,57,12.676494862683661,2022-07-08
93304,34,7.561417988267447,2022-07-08
93305,19,4.22549828756122,2022-07-08
93306,573,127.43213256697786,2022-07-08
93308,684,152.11793835220394,2022-07-08
93309,103,22.90664861151609,2022-07-08
93312,101,22.461859318088592,2022-07-08
93314,59,13.121284156111157,2022-07-08
93518,0,0,2022-07-08
93531,0,0,2022-07-08
93561,0,0,2022-07-08
93252,156,34.693564887344756,2022-07-24
93268,31,6.894234048126202,2022-07-24
93307,2004,445.67887201435184,2022-07-24
93311,704,156.5658312864789,2022-07-24
93313,527,117.20197881814542,2022-07-24
93461,0,0,2022-07-24
93203,1043,231.95761652243962,2022-07-24
93206,351,78.0605209965257,2022-07-24
93215,1897,421.88264481598077,2022-07-24
93220,6,1.3343678802824905,2022-07-24
93224,18,4.003103640847471,2022-07-24
93241,5,1.1119732335687422,2022-07-24
93243,42,9.340575161977434,2022-07-24
93249,823,183.03079424541497,2022-07-24
93250,295,65.60642078055578,2022-07-24
93251,65,14.455652036393648,2022-07-24
93263,416,92.51617303291934,2022-07-24
93276,15,3.3359197007062265,2022-07-24
93280,943,209.71815185106476,2022-07-24
93287,5,1.1119732335687422,2022-07-24
93301,56,12.454100215969913,2022-07-24
93304,53,11.786916275828666,2022-07-24
93305,24,5.337471521129962,2022-07-24
93306,601,133.6591826749628,2022-07-24
93308,771,171.46627261630005,2022-07-24
93309,117,26.020173665508565,2022-07-24
93312,120,26.68735760564981,2022-07-24
93314,53,11.786916275828666,2022-07-24
93518,0,0,2022-07-24
93531,0,0,2022-07-24
93561,0,0,2022-07-24
93252,124,27.576936192504807,2022-08-25
93268,14,3.113525053992478,2022-08-25
93307,1701,378.29329406008605,2022-08-25
93311,606,134.77115590853154,2022-08-25
93313,321,71.38868159511324,2022-08-25
93461,0,0,2022-08-25
93203,978,217.50196448604598,2022-08-25
93206,351,78.0605209965257,2022-08-25
93215,1869,415.6555947079958,2022-08-25
93220,8,1.7791571737099874,2022-08-25
93224,18,4.003103640847471,2022-08-25
93241,1,0.22239464671374842,2022-08-25
93243,28,6.227050107984956,2022-08-25
93249,735,163.4600653346051,2022-08-25
93250,201,44.70132398946343,2022-08-25
93251,58,12.898889509397408,2022-08-25
93263,393,87.40109615850314,2022-08-25
93276,15,3.3359197007062265,2022-08-25
93280,909,202.15673386279732,2022-08-25
93287,7,1.556762526996239,2022-08-25
93301,26,5.782260814557459,2022-08-25
93304,39,8.673391221836189,2022-08-25
93305,13,2.8911304072787294,2022-08-25
93306,578,128.5441058005466,2022-08-25
93308,578,128.5441058005466,2022-08-25
93309,61,13.566073449538655,2022-08-25
93312,104,23.129043258229835,2022-08-25
93314,70,15.56762526996239,2022-08-25
93518,230,51.150768744162136,2022-08-25
93531,0,0,2022-08-25
93561,0,0,2022-08-25
93252,162,36.02793276762725,2022-10-12
93268,24,5.337471521129962,2022-10-12
93307,1938,431.00082533124447,2022-10-12
93311,812,180.58445313156372,2022-10-12
93313,661,147.00286147778772,2022-10-12
93461,0,0,2022-10-12
93203,1412,314.0212411598128,2022-10-12
93206,375,83.39799251765567,2022-10-12
93215,1181,262.6480777689369,2022-10-12
93220,10,2.2239464671374845,2022-10-12
93224,7,1.556762526996239,2022-10-12
93241,4,0.8895785868549937,2022-10-12
