zipcode,ncells,acres,date
93251,65,14.455652036393648,2022-07-24
93263,416,92.51617303291934,2022-07-24
93276,15,3.3359197007062265,2022-07-24
93280,943,209.71815185106476,2022-07-24
93287,5,1.1119732335687422,2022-07-24
93301,56,12.454100215969913,2022-07-24
93304,53,11.786916275828666,2022-07-24
93305,24,5.337471521129962,2022-07-24
93306,601,133.6591826749628,2022-07-24
93308,771,171.46627261630005,2022-07-24
93309,117,26.020173665508565,2022-07-24
93312,120,26.68735760564981,2022-07-24
93314,53,11.786916275828666,2022-07-24
93518,0,0,2022-07-24
93531,0,0,2022-07-24
93561,0,0,2022-07-24
93252,124,27.576936192504807,2022-08-25
93268,14,3.113525053992478,2022-08-25
93307,1701,378.29329406008605,2022-08-25
93311,606,134.77115590853154,2022-08-25
93313,321,71.38868159511324,2022-08-25
93461,0,0,2022-08-25
93203,978,217.50196448604598,2022-08-25
93206,351,78.0605209965257,2022-08-25
93215,1869,415.6555947079958,2022-08-25
93220,8,1.7791571737099874,2022-08-25
93224,18,4.003103640847471,2022-08-25
93241,1,0.22239464671374842,2022-08-25
93243,28,6.227050107984956,2022-08-25
93249,735,163.4600653346051,2022-08-25
93250,201,44.70132398946343,2022-08-25
93251,58,12.898889509397408,2022-08-25
93263,393,87.40109615850314,2022-08-25
93276,15,3.3359197007062265,2022-08-25
93280,909,202.15673386279732,2022-08-25
93287,7,1.556762526996239,2022-08-25
93301,26,5.782260814557459,2022-08-25
93304,39,8.673391221836189,2022-08-25
93305,13,2.8911304072787294,2022-08-25
93306,578,128.5441058005466,2022-08-25
93308,578,128.5441058005466,2022-08-25
93309,61,13.566073449538655,2022-08-25
93312,104,23.129043258229835,2022-08-25
93314,70,15.56762526996239,2022-08-25
93518,230,51.150768744162136,2022-08-25
93531,0,0,2022-08-25
93561,0,0,2022-08-25
93252,130,28.911304072787296,2022-09-02
93268,15,3.3359197007062265,2022-09-02
93307,1654,367.8407456645399,2022-09-02
93311,517,114.97803235100794,2022-09-02
93313,279,62.048106433135814,2022-09-02
93461,0,0,2022-09-02
93203,934,207.71660003064105,2022-09-02
93206,330,73.39023341553698,2022-09-02
93215,1901,422.7722234028358,2022-09-02
93220,7,1.556762526996239,2022-09-02
93224,25,5.559866167843711,2022-09-02
93241,2,0.44478929342749685,2022-09-02
93243,30,6.671839401412453,2022-09-02
93249,802,178.36050666442625,2022-09-02
93250,208,46.25808651645967,2022-09-02
93251,61,13.566073449538655,2022-09-02
93263,399,88.73546403878562,2022-09-02
93276,17,3.7807089941337235,2022-09-02
93280,941,209.27336255763728,2022-09-02
93287,4,0.8895785868549937,2022-09-02
93301,7,1.556762526996239,2022-09-02
93304,34,7.561417988267447,2022-09-02
93305,10,2.2239464671374845,2022-09-02
93306,569,126.54255398012286,2022-09-02
93308,541,120.3155038721379,2022-09-02
93309,58,12.898889509397408,2022-09-02
93312,91,20.23791285095111,2022-09-02
93314,32,7.1166286948399495,2022-09-02
93518,199,44.256534696035935,2022-09-02
93531,0,0,2022-09-02
93561,0,0,2022-09-02
93252,143,31.802434480066026,2022-10-04
93268,25,5.559866167843711,2022-10-04
93307,1851,411.65249106714833,2022-10-04
93311,688,153.00751693905892,2022-10-04
93313,594,132.10242014796657,2022-10-04
93461,0,0,2022-10-04
93203,1093,243.07734885812704,2022-10-04
93206,335,74.50220664910573,2022-10-04
93215,1170,260.20173665508565,2022-10-04
93220,13,2.8911304072787294,2022-10-04
93224,26,5.782260814557459,2022-10-04
93241,2,0.44478929342749685,2022-10-04
93243,79,17.569177090386127,2022-10-04
93249,773,171.91106190972755,2022-10-04
93250,225,50.038795510593395,2022-10-04
93251,73,16.234809210103634,2022-10-04
93263,438,97.4088552606218,2022-10-04
93276,22,4.8926822277024655,2022-10-04
93280,1492,331.81281289691265,2022-10-04
93287,6,1.3343678802824905,2022-10-04
93301,37,8.228601928408692,2022-10-04
93304,64,14.233257389679899,2022-10-04
93305,25,5.559866167843711,2022-10-04
93306,632,140.55341672308901,2022-10-04
93308,685,152.3403329989177,2022-10-04
93309,102,22.68425396480234,2022-10-04
93312,139,30.91285589321103,2022-10-04
93314,50,11.119732335687422,2022-10-04
93518,77,17.12438779695863,2022-10-04
93531,0,0,2022-10-04
93561,0,0,2022-10-04
