GEOID10,Shape_Leng,Shape_Area,COUNTY_NAM,Lat,Lon,City,Type,Collection,Month,Year,Count,geometry
93314,3916530.82041,53238702331.5,Kern,35.4019844629076,-119.31777736962,KERN,WNVPools,"{""Aug 2011"":1}",Aug,2011,1,"c(-119.31777736962, 35.4019844629076)"
93314,3916530.82041,53238702331.5,Kern,35.4019844629076,-119.31777736962,KERN,WNVPools,"{""Aug 2010"":1}",Aug,2010,1,"c(-119.31777736962, 35.4019844629076)"
93314,3916530.82041,53238702331.5,Kern,35.4019844629076,-119.31777736962,KERN,WNVPools,"{""Aug 2012"":1}",Aug,2012,1,"c(-119.31777736962, 35.4019844629076)"
93314,3916530.82041,53238702331.5,Kern,35.4019844629076,-119.31777736962,KERN,WNVPools,"{""Aug 2011"":1}",Aug,2011,1,"c(-119.31777736962, 35.4019844629076)"
93314,3916530.82041,53238702331.5,Kern,35.4038083092927,-119.314441022027,KERN,WNVPools,"{""Jul 2017"":1}",Jul,2017,1,"c(-119.314441022027, 35.4038083092927)"
93314,3916530.82041,53238702331.5,Kern,35.4038083092927,-119.314441022027,KERN,WNVPools,"{""Sep 2014"":1}",Sep,2014,1,"c(-119.314441022027, 35.4038083092927)"
93314,3916530.82041,53238702331.5,Kern,35.4038083092927,-119.314441022027,KERN,WNVPools,"{""Jul 2017"":1}",Jul,2017,1,"c(-119.314441022027, 35.4038083092927)"
93314,3916530.82041,53238702331.5,Kern,35.4038083092927,-119.314441022027,KERN,WNVPools,"{""Aug 2015"":1}",Aug,2015,1,"c(-119.314441022027, 35.4038083092927)"
93314,3916530.82041,53238702331.5,Kern,35.3424236755684,-119.175238694522,BAKERSFIELD,WNVPools,"{""Jul 2007"":1}",Jul,2007,1,"c(-119.175238694522, 35.3424236755684)"
93314,3916530.82041,53238702331.5,Kern,35.3424236755684,-119.175238694522,BAKERSFIELD,WNVPools,"{""Aug 2006"":1}",Aug,2006,1,"c(-119.175238694522, 35.3424236755684)"
93314,3916530.82041,53238702331.5,Kern,35.3424236755684,-119.175238694522,BAKERSFIELD,WNVPools,"{""Jul 2006"":1}",Jul,2006,1,"c(-119.175238694522, 35.3424236755684)"
93314,3916530.82041,53238702331.5,Kern,35.3449773763253,-119.170615607097,BAKERSFIELD,WEEVPools,"{""Aug 2006"":1}",Aug,2006,1,"c(-119.170615607097, 35.3449773763253)"
93314,3916530.82041,53238702331.5,Kern,35.3462633852565,-119.17019513503,BAKERSFIELD,WEEVSentinels,"{""Sep 2005"":1}",Sep,2005,1,"c(-119.17019513503, 35.3462633852565)"
93314,3916530.82041,53238702331.5,Kern,35.3462633852565,-119.17019513503,BAKERSFIELD,WEEVSentinels,"{""Sep 2005"":1}",Sep,2005,1,"c(-119.17019513503, 35.3462633852565)"
93314,3916530.82041,53238702331.5,Kern,35.3462633852565,-119.17019513503,BAKERSFIELD,WEEVSentinels,"{""Sep 2005"":1}",Sep,2005,1,"c(-119.17019513503, 35.3462633852565)"
93314,3916530.82041,53238702331.5,Kern,35.3462633852565,-119.17019513503,BAKERSFIELD,WEEVSentinels,"{""Sep 2005"":1}",Sep,2005,1,"c(-119.17019513503, 35.3462633852565)"
93314,3916530.82041,53238702331.5,Kern,35.3462633852565,-119.17019513503,BAKERSFIELD,WEEVSentinels,"{""Sep 2005"":1}",Sep,2005,1,"c(-119.17019513503, 35.3462633852565)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Sep 2011"":1}",Sep,2011,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Aug 2011"":1}",Aug,2011,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Aug 2011"":1}",Aug,2011,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Aug 2011"":1}",Aug,2011,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Jul 2011"":1}",Jul,2011,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Jul 2011"":1}",Jul,2011,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Jul 2006"":1}",Jul,2006,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Sep 2009"":1}",Sep,2009,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Oct 2007"":1}",Oct,2007,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Jul 2005"":1}",Jul,2005,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Oct 2007"":1}",Oct,2007,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Sep 2007"":1}",Sep,2007,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Sep 2007"":1}",Sep,2007,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Aug 2007"":1}",Aug,2007,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Aug 2007"":1}",Aug,2007,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Aug 2007"":1}",Aug,2007,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Jul 2007"":1}",Jul,2007,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Aug 2010"":1}",Aug,2010,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Jul 2006"":1}",Jul,2006,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Jul 2006"":1}",Jul,2006,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Jul 2006"":1}",Jul,2006,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Sep 2011"":1}",Sep,2011,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Oct 2005"":1}",Oct,2005,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Oct 2005"":1}",Oct,2005,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Sep 2005"":1}",Sep,2005,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Aug 2005"":1}",Aug,2005,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Jul 2005"":1}",Jul,2005,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Jul 2005"":1}",Jul,2005,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Sep 2006"":1}",Sep,2006,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Jul 2005"":1}",Jul,2005,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Oct 2011"":1}",Oct,2011,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3441982993858,-119.175965036551,BAKERSFIELD,WNVSentinels,"{""Oct 2011"":1}",Oct,2011,1,"c(-119.175965036551, 35.3441982993858)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Aug 2006"":1}",Aug,2006,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jul 2004"":1}",Jul,2004,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Sep 2005"":1}",Sep,2005,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jul 2010"":1}",Jul,2010,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jun 2007"":1}",Jun,2007,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Aug 2007"":1}",Aug,2007,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Aug 2004"":1}",Aug,2004,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jul 2006"":1}",Jul,2006,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jul 2006"":1}",Jul,2006,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jul 2005"":1}",Jul,2005,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jul 2010"":1}",Jul,2010,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Aug 2007"":1}",Aug,2007,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jul 2009"":1}",Jul,2009,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jun 2011"":1}",Jun,2011,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jul 2007"":1}",Jul,2007,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jul 2013"":1}",Jul,2013,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jun 2014"":1}",Jun,2014,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Aug 2007"":1}",Aug,2007,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Aug 2006"":1}",Aug,2006,1,"c(-119.153705602808, 35.3472747461091)"
93314,3916530.82041,53238702331.5,Kern,35.3472747461091,-119.153705602808,BAKERSFIELD,WNVPools,"{""Jul 2005"":1}",Jul,2005,1,"c(-119.153705602808, 35.3472747461091)"
